# Lemma,POS,Topic,Rating
Koch,,service,
sauber,,hygiene,good
Dekoration,,ambience,
schmutzig,,hygiene,bad
freundlich,,service,good
Gast,,service,
Schnitzel,,food,
Location,,ambience,
laut,,ambience,bad
Musik,,ambience,
höflich,,service,good
Gestank,,,bad
tasty,,food,good
Kellner,,service,
Wein,,food,
jammern,,,bad
köstlich,,food,very_good
langsam,,service,bad
Schnitzel,,food,
Bedeinung,,service,
Atmosphäre,,ambience,
genießen,,,good
Preis,,value,
Steak,,food,
Spinat,,food,
Bohne,,food,
Lokal,,general,
Restaurant,,general,
frisch,,,good
gerne,,,good
Erreichbarkeit,,ambience,
.*bahnstation,,ambience,
Essen,,food,
schmackhaft,,food,good
lecker,,food,good
Präsentation,,ambience,
präsentieren,,ambience,
